hierarchy_level,epic_key,epic_name,epic_request_type,epic_idea_approval_date,epic_start_date,epic_due_date,epic_r4g_date,epic_created,epic_updated,epic_components,story_key,story_issue_type,story_summary,story_status,subtask_key,subtask_issue_type,subtask_summary,subtask_status,subtask_start_date,subtask_due_date
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131573,Sub-task,[Checklist kiểm soát tác động] US2: Cải tiến tab bản đồ học tại,Done,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131564,Story,US2: Cải tiến tab bản đồ học tập,Released,HCM-131574,Sub Test Execution,[UAT] US2: Cải tiến tab bản đồ học tại,Cancelled,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131575,Story,US3.1: Tự khai bao và gửi email tới CBQL,Released,HCM-131576,Design,DEV -  viết TKCT: US3.1: Tự khai bao và gửi email tới CBQL,Done,2026-07-16,2026-07-16
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131575,Story,US3.1: Tự khai bao và gửi email tới CBQL,Released,HCM-131577,DEV,DEV - US3.1: Tự khai bao và gửi email tới CBQL,Done,2026-07-16,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131575,Story,US3.1: Tự khai bao và gửi email tới CBQL,Released,HCM-131578,Sub-task,DEV unit test: US3.1: Tự khai bao và gửi email tới CBQL,Cancelled,,
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131575,Story,US3.1: Tự khai bao và gửi email tới CBQL,Released,HCM-131579,Sub Test Execution,DEV - TC4D: US3.1: Tự khai bao và gửi email tới CBQL,Done,2026-07-20,2026-07-20
SUBTASK,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131575,Story,US3.1: Tự khai bao và gửi email tới CBQL,Released,HCM-131580,Design,[CREATE TD] US3.1: Tự khai bao và gửi email tới CBQL,Done,2026-07-16,2026-07-16
STORY,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131586,Story,US3.2: Danh sách phê duyệt và tìm kiếm,Released,,,,,,
STORY,HCM-131520,LEARNING MAP (VERSION 2),Tính năng mới,,2026-07-15,2026-08-03,2026-08-03,2026-07-13,2026-08-12,,HCM-131597,Story,"US3.3: Phê duyệt CBQL, cập nhật thông tin và gửi email lại cho CBNV",Released,,,,,,
STORY,HCM-131673,"HCM - Cải tiến ký mới - ký tiếp HĐLĐ thuê ngoài, Phí dịch vụ",Cải tiến,,2026-07-31,,,2026-07-17,2026-08-11,,HCM-132077,Story,US 01 - Cải tiến ký mới HĐDV đối với nhân sự thuê ngoài,IN UAT,,,,,,
STORY,HCM-131673,"HCM - Cải tiến ký mới - ký tiếp HĐLĐ thuê ngoài, Phí dịch vụ",Cải tiến,,2026-07-31,,,2026-07-17,2026-08-11,,HCM-132088,Story,US 02 - Cải tiến ký tiếp HĐDV đối với nhân sự thuê ngoài,IN UAT,,,,,,
STORY,HCM-131673,"HCM - Cải tiến ký mới - ký tiếp HĐLĐ thuê ngoài, Phí dịch vụ",Cải tiến,,2026-07-31,,,2026-07-17,2026-08-11,,HCM-132099,Story,US 03 - Tự động tạo đề xuất hiệu chỉnh quá trình hợp đồng khi QTCT nghỉ việc được phê duyệt,IN UAT,,,,,,
STORY,HCM-131699,Xây dựng bảng kiểm tra dữ liệu tính lương tháng backdate,Tính năng mới,2026-07-31,2026-07-31,,,2026-07-20,2026-08-14,Payroll,HCM-132161,Story,1. Bảng kiểm tra dữ liệu đầu vào tính lương tháng backdate,IN UAT,,,,,,
STORY,HCM-131699,Xây dựng bảng kiểm tra dữ liệu tính lương tháng backdate,Tính năng mới,2026-07-31,2026-07-31,,,2026-07-20,2026-08-14,Payroll,HCM-132172,Story,2. Bảng kiểm tra thay đổi diễn biến phụ cấp,IN SIT,,,,,,
STORY,HCM-131699,Xây dựng bảng kiểm tra dữ liệu tính lương tháng backdate,Tính năng mới,2026-07-31,2026-07-31,,,2026-07-20,2026-08-14,Payroll,HCM-132183,Story,3. Xuất báo cáo kiểm tra dữ liệu backdate,Cancelled,,,,,,
STORY,HCM-131962,202608_Áp khoán lương NSLĐ line SME-CN,Cải tiến,2026-08-04,2026-08-04,,,2026-07-24,2026-08-13,Payroll,HCM-132204,Story,2. Cải tiến áp khoán NSLĐ line SME - CN,DEV DONE,,,,,,
STORY,HCM-131962,202608_Áp khoán lương NSLĐ line SME-CN,Cải tiến,2026-08-04,2026-08-04,,,2026-07-24,2026-08-13,Payroll,HCM-132214,Story,1. Import NSLĐ line SME - CN,DEV DONE,,,,,,
STORY,HCM-131962,202608_Áp khoán lương NSLĐ line SME-CN,Cải tiến,2026-08-04,2026-08-04,,,2026-07-24,2026-08-13,Payroll,HCM-132226,Story,3. Tổng hợp áp khoán NSLĐ line SME - CN,DEV DONE,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132417,Story,1. Cải tiến Cấu hình tham số hệ thống,Ready For Test,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132432,Story,2. Cải tiến chức năng Rà soát danh sách BHNT,Analyzing,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132442,Story,3. Xác nhận danh sách rà soát của DVNS/PTNL,IN DEV,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132454,Story,4. Import danh sách rà soát BHNT của DVNS/PTNL,IN DEV,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132465,Story,5. Cải tiến import Danh sách rà soát BHNT,Ready For Dev,,,,,,
STORY,HCM-131969,202608_ Cải tiến bảo hiểm Nhân thọ - Module Quản lý chế độ,Cải tiến,2026-08-06,2026-08-06,,,2026-07-27,2026-08-13,,HCM-132476,Story,6. Cải tiến Import Kết quả tham gia BHNT,Ready For Dev,,,,,,
EPIC,HCM-132139,"Cải tiến quy trình tham vấn, thanh lý HĐLĐ và quản trị biểu mẫu HĐLĐ",Cải tiến,,,,,2026-07-30,2026-07-30,,,,,,,,,,,
EPIC,HCM-132140,Số hóa văn bản - Đang khảo sát,Cải tiến,,,,,2026-07-30,2026-07-30,,,,,,,,,,,
STORY,HCM-132961,202608_Áp khoán lương NSLĐ ARM SME,Cải tiến,2026-08-11,2026-08-11,,,2026-08-11,2026-08-14,Payroll,HCM-132962,Story,4. Import NSLĐ nhóm ARM-SME,IN DEV,,,,,,
STORY,HCM-132961,202608_Áp khoán lương NSLĐ ARM SME,Cải tiến,2026-08-11,2026-08-11,,,2026-08-11,2026-08-14,Payroll,HCM-132973,Story,5. Cải tiến áp khoán NSLĐ nhóm ARM SME,WAITING FOR PLANNING,,,,,,
STORY,HCM-132961,202608_Áp khoán lương NSLĐ ARM SME,Cải tiến,2026-08-11,2026-08-11,,,2026-08-11,2026-08-14,Payroll,HCM-132984,Story,6. Tổng hợp áp khoán NSLĐ nhóm ARM-SME,WAITING FOR PLANNING,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30894,Story,Tạo tài khoản KH - tích hợp đối tác BTMH,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30895,Story,APP-Danh sách sản phẩm BTMH + Job đồng bộ + Webhook,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30896,Story,Tích hợp API lấy thông tin sp BTMH -Job đồng bộ tt sp,Cancelled,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30897,Story,Đồng bộ thông tin cửa hàng BTMH,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30898,Story,APP- Tích hợp luồng Đăng ký mua vàng BTMH,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30899,Story,Job retry timeout tạo đơn sang BTMH,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30900,Story,Callback_Đồng bộ trạng thái GD từ đối tác BTMH,UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30901,Story,"APP-Danh sách tài sản, chi tiết tài sản vàng",UAT DONE,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30902,Story," Tích hợp luồng Thanh toán, Hoàn tiền",Cancelled,,,,,,
STORY,WM-30864,Giao dịch vàng Bảo Tín Mạnh Hải,Tính năng mới,2026-07-20,2026-07-20,,2026-08-17,2026-07-20,2026-08-11,WM - Team 1 ,WM-30915,Story,Tích hợp luồng webhook đối tác BTMH chủ động cập nhật thông tin sp,Cancelled,,,,,,
EPIC,WM-31047,[Beerich] Phát triển SPĐT Chứng chỉ quỹ trên Beerich - Phase 1,Sản phẩm/dịch vụ/quy trình mới,,,,,2026-07-22,2026-07-31,,,,,,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31220,Story,[DG Lite CCQ-Beerich] Onboarding DG Lite CCQ (Định danh + Đăng nhập),Ready For Dev,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31221,Story,[DG Lite CCQ-Beerich] Mở tài khoản Digi,Ready For Dev,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31234,Story,[DG Lite CCQ-Beerich] Cập nhật thông tin cá nhân,IN DEV,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31235,Story,[DG Lite CCQ-Beerich] Luồng mua CCQ - Chỉnh sửa phần chuyển tiền,IN DEV,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31236,Story,[DG Lite CCQ-Beerich] Luồng mua combo CCQ - Chỉnh sửa phần chuyển tiền,IN DEV,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31289,Story,Màn hình Home Đầu tư (Trang tổng quan),Pending,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31290,Story,Màn hình Hồ sơ người dùng,IN DEV,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31291,Story,Màn hình Tổng tài sản đầu tư,IN DEV,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31342,Story,Chỉnh sửa module quản lý banner - Thêm trường Loại ứng dụng,To Do,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-31360,Story,Màn hình Lợi nhuận đã nhận,Pending,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32131,Story,[Mua tự động] Màn hình theo dõi Tích lũy tự động,READY FOR REFINE,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32148,Story,[Mua tự động] Màn hình xem chi tiết lệnh đặt mua tự động,READY FOR REFINE,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32161,Story,[Mua tự động] Chỉnh sửa màn hình thông tin quỹ - Bổ sung thông tin mua tự động,READY FOR REFINE,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32188,Story,[Mua tự động] Luồng hủy dịch vụ,READY FOR REFINE,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32201,Story,[Mua tự động] Màn hình theo dõi tài sản,READY FOR REFINE,,,,,,
STORY,WM-31288,Phát triển nền tảng SPĐT trên Beerich,Hệ thống mới,,2026-07-29,,,2026-07-24,2026-08-14,,WM-32214,Story,[Mua tự động] Luồng đăng ký mua tự động,READY FOR REFINE,,,,,,
STORY,WM-31336,Sàn giao dịch hàng hóa trên Wealth (Thành viên môi giới),Sản phẩm,,2026-08-05,,,2026-07-27,2026-08-12,,WM-31684,Story,Luồng onboard cho sàn giao dịch hàng hóa DComes,Ready For Dev,,,,,,
STORY,WM-31336,Sàn giao dịch hàng hóa trên Wealth (Thành viên môi giới),Sản phẩm,,2026-08-05,,,2026-07-27,2026-08-12,,WM-31713,Story,Luồng nộp tiền Dcomes,IN DEV,,,,,,
